Location,Count
Andorra,4
Argentina,396
Aruba,3
Australia,138
Austria,315
Bahamas,2
Bahrain,1
Barbados,1
Belgium,775
Benin,3
Bermuda,1
Bolivia,210
Bosnia and Herzegovina,6
Brazil,8147
Bulgaria,6
Cameroon,8
Canada,1400
Central African Republic,10
Chile,977
China,5
Colombia,2453
Congo,5
Costa Rica,6
Croatia,29
Cuba,4
Curaçao,3
Cyprus,5
Czechia,68
Democratic Republic of the Congo,190
Denmark,187
Dominican Republic,31
Ecuador,142
Egypt,1
El Salvador,9
Estonia,11
Finland,40
France,4043
Georgia,2
Germany,3640
Ghana,103
Gibraltar,6
Greece,82
Greenland,2
Guadeloupe,1
Guam,1
Guatemala,32
Guyana,2
Honduras,6
Hungary,78
Iceland,16
India,12
Indonesia,1
Iran,1
Ireland,195
Israel,254
Italy,851
Jamaica,14
Japan,7
Jordan,1
Latvia,6
Lebanon,14
Liberia,3
Lithuania,5
Luxembourg,55
Malta,33
Martinique,1
Mexico,1968
Monaco,3
Montenegro,2
Morocco,3
Netherlands,1219
New Caledonia,1
New Zealand,11
Nigeria,400
Norway,92
Panama,16
Paraguay,2
Peru,2587
Philippines,4
Poland,195
Portugal,926
Puerto Rico,187
Qatar,5
Republic of Korea,2
Republic of Moldova,2
Romania,40
Russian Federation,2
Saint Martin,1
Saudi Arabia,8
Serbia,40
Singapore,19
Slovakia,14
Slovenia,47
South Africa,5
Spain,7209
Sudan,17
Sweden,198
Switzerland,516
Thailand,10
Türkiye,12
Ukraine,4
United Arab Emirates,16
United Kingdom of Great Britain and Northern Ireland,3654
United States,26049
Uruguay,9
Venezuela,8
Viet Nam,1
